FIPS,NAICS2017,NAICS2017_LABEL,n
13025,4451,Grocery stores,5
13025,722,Food services and drinking places,12
13017,4451,Grocery stores,9
13017,44511,Supermarkets and other grocery (except convenience) stores,3
13017,4453,"Beer, wine, and liquor stores",3
13017,722,Food services and drinking places,24
13033,4451,Grocery stores,12
13033,44511,Supermarkets and other grocery (except convenience) stores,4
13033,722,Food services and drinking places,24
13047,4451,Grocery stores,10
13047,44511,Supermarkets and other grocery (except convenience) stores,9
13047,722,Food services and drinking places,89
13053,722,Food services and drinking places,5
13055,4451,Grocery stores,16
13055,44511,Supermarkets and other grocery (except convenience) stores,5
13055,722,Food services and drinking places,27
13073,4451,Grocery stores,23
13073,44511,Supermarkets and other grocery (except convenience) stores,20
13073,4453,"Beer, wine, and liquor stores",12
13073,722,Food services and drinking places,224
13087,4451,Grocery stores,8
13087,44511,Supermarkets and other grocery (except convenience) stores,5
13087,4453,"Beer, wine, and liquor stores",4
13087,722,Food services and drinking places,39
13115,4451,Grocery stores,35
13115,44511,Supermarkets and other grocery (except convenience) stores,14
13115,4453,"Beer, wine, and liquor stores",15
13115,722,Food services and drinking places,171
13117,4451,Grocery stores,45
13117,44511,Supermarkets and other grocery (except convenience) stores,32
13117,4453,"Beer, wine, and liquor stores",19
13117,722,Food services and drinking places,343
13117,7224,Drinking places (alcoholic beverages),4
13137,4451,Grocery stores,14
13137,44511,Supermarkets and other grocery (except convenience) stores,7
13137,722,Food services and drinking places,64
13147,4451,Grocery stores,4
13147,722,Food services and drinking places,31
13185,4451,Grocery stores,42
13185,44511,Supermarkets and other grocery (except convenience) stores,18
13185,4453,"Beer, wine, and liquor stores",16
13185,722,Food services and drinking places,233
13185,7224,Drinking places (alcoholic beverages),8
13191,4451,Grocery stores,5
13191,4453,"Beer, wine, and liquor stores",3
13191,722,Food services and drinking places,21
13199,4451,Grocery stores,10
13199,44511,Supermarkets and other grocery (except convenience) stores,6
13199,4453,"Beer, wine, and liquor stores",4
13199,722,Food services and drinking places,20
13207,4451,Grocery stores,8
13207,44511,Supermarkets and other grocery (except convenience) stores,3
13207,722,Food services and drinking places,31
13237,4451,Grocery stores,8
13237,44511,Supermarkets and other grocery (except convenience) stores,3
13237,4453,"Beer, wine, and liquor stores",3
13237,722,Food services and drinking places,24
13261,4451,Grocery stores,15
13261,44511,Supermarkets and other grocery (except convenience) stores,6
13261,4453,"Beer, wine, and liquor stores",4
13261,722,Food services and drinking places,48
13301,4451,Grocery stores,4
13029,4451,Grocery stores,9
13029,44511,Supermarkets and other grocery (except convenience) stores,7
13029,4453,"Beer, wine, and liquor stores",7
13029,722,Food services and drinking places,68
13035,4451,Grocery stores,8
13035,722,Food services and drinking places,37
13043,4451,Grocery stores,5
13043,44511,Supermarkets and other grocery (except convenience) stores,3
13043,4453,"Beer, wine, and liquor stores",3
13043,722,Food services and drinking places,16
13039,4451,Grocery stores,7
13039,44511,Supermarkets and other grocery (except convenience) stores,5
13039,722,Food services and drinking places,91
13045,4451,Grocery stores,44
13045,44511,Supermarkets and other grocery (except convenience) stores,22
13045,4453,"Beer, wine, and liquor stores",5
13045,722,Food services and drinking places,192
13079,722,Food services and drinking places,6
13099,4451,Grocery stores,5
13099,44511,Supermarkets and other grocery (except convenience) stores,4
13099,722,Food services and drinking places,19
13081,4451,Grocery stores,13
13081,44511,Supermarkets and other grocery (except convenience) stores,9
13081,4453,"Beer, wine, and liquor stores",5
13081,722,Food services and drinking places,42
13011,722,Food services and drinking places,33
13069,4451,Grocery stores,16
13069,44511,Supermarkets and other grocery (except convenience) stores,7
13069,4453,"Beer, wine, and liquor stores",5
13069,722,Food services and drinking places,57
13077,4451,Grocery stores,40
13077,44511,Supermarkets and other grocery (except convenience) stores,25
13077,722,Food services and drinking places,188
13067,4451,Grocery stores,165
13067,44511,Supermarkets and other grocery (except convenience) stores,114
13067,4453,"Beer, wine, and liquor stores",69
13067,722,Food services and drinking places,1563
13067,7224,Drinking places (alcoholic beverages),15
13123,4451,Grocery stores,11
13123,44511,Supermarkets and other grocery (except convenience) stores,5
13123,4453,"Beer, wine, and liquor stores",3
13123,722,Food services and drinking places,61
13083,4451,Grocery stores,6
13083,44511,Supermarkets and other grocery (except convenience) stores,3
13083,722,Food services and drinking places,19
13297,4451,Grocery stores,20
13297,44511,Supermarkets and other grocery (except convenience) stores,11
13297,722,Food services and drinking places,107
13317,4451,Grocery stores,4
13317,44511,Supermarkets and other grocery (except convenience) stores,3
13317,722,Food services and drinking places,14
13027,4451,Grocery stores,6
13027,44511,Supermarkets and other grocery (except convenience) stores,3
13027,722,Food services and drinking places,15
13091,4451,Grocery stores,8
13091,44511,Supermarkets and other grocery (except convenience) stores,4
13091,722,Food services and drinking places,20
13129,4451,Grocery stores,15
13129,44511,Supermarkets and other grocery (except convenience) stores,10
13129,4453,"Beer, wine, and liquor stores",6
13129,722,Food services and drinking places,71
13105,4451,Grocery stores,8
13105,44511,Supermarkets and other grocery (except convenience) stores,4
13105,722,Food services and drinking places,20
13057,4451,Grocery stores,45
13057,44511,Supermarkets and other grocery (except convenience) stores,32
13057,4453,"Beer, wine, and liquor stores",12
13057,722,Food services and drinking places,372
13057,7224,Drinking places (alcoholic beverages),3
13113,4451,Grocery stores,26
13113,44511,Supermarkets and other grocery (except convenience) stores,19
13113,4453,"Beer, wine, and liquor stores",11
13113,722,Food services and drinking places,257
13113,7224,Drinking places (alcoholic beverages),3
13165,722,Food services and drinking places,11
13177,4451,Grocery stores,7
13177,44511,Supermarkets and other grocery (except convenience) stores,3
13177,722,Food services and drinking places,26
13217,4451,Grocery stores,28
